Country,Place,Name,Price,Tax,Stars,Distance,Number_of_review,Sustainable_level,Discount,Free_Breakfast,is_Prepayment,is_NotablePlace,is_Free_Cancel,is_Sold_Out,Point
Viet Nam,Hà Nội,Marigold Hotel Hanoi,601603.0,0.0,3.0,1.4,480,3,False,True,False,False,False,False,9.2
Viet Nam,Hà Nội,Hanoi Center Silk Charming Hotel & Travel,730800.0,0.0,3.0,0.8,175,3,True,False,True,False,True,True,8.8
Viet Nam,Hà Nội,Hanoi Golden Hotel,370723.0,0.0,2.0,1.0,521,0,False,False,False,True,False,False,7.9
Viet Nam,Hà Nội,Hôtel du LAC Hanoi,1318647.0,0.0,4.0,0.4,995,3,False,True,False,False,False,False,9.3
Viet Nam,Hà Nội,Hanoi Garden Hotel & Spa,931265.0,0.0,4.0,0.9,263,0,False,False,False,True,False,False,9.3
Viet Nam,Hà Nội,Hanoi Calista Hotel,961000.0,0.0,4.0,0.7,670,3,True,True,False,False,False,True,9.4
Viet Nam,Hà Nội,Capital O 387 Bach Duong Hotel,371896.0,57720.0,3.0,6.6,594,1,False,False,False,True,False,False,8.7
Viet Nam,Hà Nội,Mai Hotel,675000.0,0.0,3.0,3.0,172,2,False,False,False,True,True,True,8.6
Viet Nam,Hà Nội,Hanoi Lotus Boutique Hotel,599961.0,0.0,4.0,0.6,156,2,False,True,False,True,False,False,8.3
Viet Nam,Hà Nội,La Sinfonía Majesty Hotel and Spa,1522075.0,0.0,4.0,0.5,350,2,False,True,False,False,False,False,9.4
Viet Nam,Hà Nội,The Light Hotel,1452154.0,0.0,4.0,0.7,405,2,False,True,False,False,False,False,8.7
Viet Nam,Hà Nội,Pullman Hanoi,2100000.0,325500.0,5.0,2.5,363,0,False,False,True,True,True,False,7.4
Viet Nam,Hà Nội,Madelise Central Hotel & Travel,648375.0,0.0,4.0,0.7,451,3,False,False,False,False,False,False,8.1
Viet Nam,Hà Nội,Hanoi Chic Boutique Hotel,584475.0,0.0,3.0,0.9,696,2,False,True,False,False,False,False,8.8
Viet Nam,Hà Nội,LUCK APART 8 - Hanoi Westlake Balcony Studio,504000.0,0.0,,6.7,89,1,True,False,True,False,True,False,9.1
Viet Nam,Hà Nội,Golden Time Hostel 3,345600.0,0.0,2.0,0.7,610,0,False,False,True,False,True,True,8.3
Viet Nam,Hà Nội,Hanoi Exclusive Hotel,762798.0,0.0,3.0,0.8,77,0,False,False,False,False,False,False,9.1
Viet Nam,Hà Nội,Nature Hotel - Tran Thai Tong - Ha Noi,849847.0,0.0,3.0,6.4,146,0,False,True,False,False,False,False,8.4
